topicId,words..
1,put cut make place remove rub hair fat tested save
2,morning give drink pain powder warm cured fine eat patient
3,put water fire make made distill lb clear flask vessel
4,stomach blood sickness head make dry sick great time makes
5,powerful wine good body time cold cures stay true end
6,god holy christ amen son spirit father pater jesus noster
7,water good days sugar make things sleep flowers wine half
8,ounces boil put ounce honey strain clean pot syrup dram
9,oil warm times put cured cure make rub white boil
10,put ounces fire unguent powder white ounce made wax rose
